id,f_id,color,brand,model
f0010011,f001001,黑,比亚迪,MPV
f0010021,f001002,黑,大众,MPV
f0010031,f001003,黑,奔驰,MPV
f0010041,f001004,黑,比亚迪,紧凑型
f0010051,f001005,白,宝马,CDV
f0010061,f001006,黑,奥迪,SUV
f0010071,f001007,银灰,大众,SUV
f0010081,f001008,黑,大众,SUV
f0010091,f001009,白,比亚迪,SUV
f0010101,f001010,红,比亚迪,紧凑型
f0010111,f001011,黑,大众,CDV
f0010121,f001012,红,比亚迪,MPV
f0010131,f001013,黑,比亚迪,MPV
f0010141,f001014,黑,奥迪,紧凑型
f0010151,f001015,黑,奔驰,SUV
f0010161,f001016,黑,大众,MPV
f0010171,f001017,银灰,宝马,CDV
f0010181,f001018,黑,宝马,CDV
f0010191,f001019,黑,奥迪,紧凑型
f0010201,f001020,黑,奥迪,SUV
f0010211,f001021,银灰,大众,紧凑型
f0010221,f001022,银灰,宝马,MPV
f0010231,f001023,白,大众,SUV
f0010241,f001024,黑,比亚迪,MPV
f0010251,f001025,银灰,大众,MPV
f0010261,f001026,黑,宝马,MPV
f0010271,f001027,黑,奥迪,CDV
f0010281,f001028,银灰,奔驰,SUV
f0010291,f001029,黑,奥迪,紧凑型
f0010301,f001030,黑,比亚迪,CDV
f0010311,f001031,黑,比亚迪,CDV
f0010321,f001032,黑,宝马,紧凑型
f0010331,f001033,银灰,宝马,SUV
f0010341,f001034,黑,比亚迪,MPV
f0010351,f001035,黑,大众,SUV
f0010361,f001036,黑,比亚迪,SUV
f0010371,f001037,白,宝马,MPV
f0010381,f001038,黑,奥迪,SUV
f0010391,f001039,银灰,奔驰,MPV
f0010401,f001040,黑,宝马,SUV
f0010411,f001041,银灰,大众,SUV
f0010421,f001042,黑,比亚迪,MPV
f0010431,f001043,银灰,比亚迪,SUV
f0010441,f001044,黑,比亚迪,CDV
f0010451,f001045,黑,宝马,紧凑型
f0010461,f001046,黑,比亚迪,SUV
f0010471,f001047,银灰,比亚迪,SUV
f0010481,f001048,黑,比亚迪,MPV
f0010491,f001049,黑,比亚迪,MPV
f0010501,f001050,黑,宝马,CDV
f0010511,f001051,银灰,比亚迪,SUV
f0010521,f001052,银灰,比亚迪,CDV
f0010531,f001053,黑,宝马,紧凑型
f0010541,f001054,黑,奔驰,紧凑型
f0010551,f001055,银灰,大众,紧凑型
f0010561,f001056,银灰,奥迪,MPV
f0010571,f001057,银灰,奔驰,SUV
f0010581,f001058,银灰,奔驰,SUV
f0010591,f001059,银灰,大众,SUV
f0010601,f001060,银灰,宝马,紧凑型
f0010611,f001061,白,比亚迪,紧凑型
f0010621,f001062,黑,奔驰,紧凑型
f0010631,f001063,黑,大众,CDV
f0010641,f001064,黑,奥迪,SUV
f0010651,f001065,黑,奔驰,SUV
f0010661,f001066,白,宝马,MPV
f0010671,f001067,银灰,大众,紧凑型
f0010681,f001068,红,奔驰,MPV
