id,h_e_id,family_number,parking,pet,people,car,,,,
f001001,001,A栋1011,0,0,4,1,,,,
f001002,001,A栋1012,1,0,3,0,,,,
f001003,001,A栋1021,1,1,8,1,,,,
f001004,001,A栋1022,0,1,7,0,,,,
f001005,001,A栋1031,1,1,8,1,,,,
f001006,001,A栋1032,1,1,8,0,,,,
f001007,001,A栋1041,0,1,6,1,,,,
f001008,001,A栋1042,0,1,7,0,,,,
f001009,001,A栋1051,1,0,5,0,,,,
f001010,001,A栋1052,0,0,1,0,,,,
f001011,001,A栋1061,0,0,8,1,,,,
f001012,001,A栋1062,1,1,6,0,,,,
f001013,001,A栋1071,0,2,4,1,,,,
f001014,001,A栋1072,1,0,2,0,,,,
f001015,001,A栋1081,0,1,6,1,,,,
f001016,001,A栋1082,0,1,4,1,,,,
f001017,001,A栋1091,0,2,8,1,,,,
f001018,001,A栋1092,0,1,7,0,,,,
f001019,001,A栋2011,0,0,3,1,,,,
f001020,001,A栋2012,1,1,3,1,,,,
f001021,001,A栋2021,0,1,5,0,,,,
f001022,001,A栋2022,0,1,5,0,,,,
f001023,001,A栋2031,1,0,4,0,,,,
f001024,001,A栋2032,1,0,1,0,,,,
f001025,001,A栋2041,0,1,8,0,,,,
f001026,001,A栋2042,1,0,1,0,,,,
f001027,001,A栋2051,1,2,1,0,,,,
f001028,001,A栋2052,1,0,8,1,,,,
f001029,001,A栋2061,1,0,6,1,,,,
f001030,001,A栋2062,0,1,7,1,,,,
f001031,001,A栋2071,1,0,5,1,,,,
f001032,001,A栋2072,1,2,7,0,,,,
f001033,001,A栋2081,0,1,1,0,,,,
f001034,001,A栋2082,0,0,4,0,,,,
f001035,001,A栋2091,0,1,5,0,,,,
f001036,001,A栋2092,1,0,3,0,,,,
f001037,001,A栋3011,1,1,3,0,,,,
f001038,001,A栋3012,1,1,8,1,,,,
f001039,001,B栋1011,0,2,5,1,,,,
f001040,001,B栋1012,1,2,6,1,,,,
f001041,001,B栋1021,0,2,6,1,,,,
f001042,001,B栋1022,0,2,8,0,,,,
f001043,001,B栋1031,0,1,5,1,,,,
f001044,001,B栋1032,0,2,1,1,,,,
f001045,001,B栋1041,0,2,7,0,,,,
f001046,001,B栋1042,1,2,2,0,,,,
f001047,001,B栋1051,0,0,2,1,,,,
f001048,001,B栋1052,1,2,5,1,,,,
f001049,001,B栋1061,1,1,2,1,,,,
f001050,001,B栋1062,1,1,1,1,,,,
f001051,001,B栋1071,1,2,1,1,,,,
f001052,001,B栋1072,0,1,2,0,,,,
f001053,001,B栋1081,1,0,1,1,,,,
f001054,001,B栋1082,0,1,7,0,,,,
f001055,001,B栋1091,1,0,8,1,,,,
f001056,001,B栋1092,0,1,8,1,,,,
f001057,001,B栋2011,1,0,6,1,,,,
f001058,001,B栋2012,0,0,1,1,,,,
f001059,001,B栋2021,1,0,4,0,,,,
f001060,001,B栋2022,0,0,7,0,,,,
f001061,001,B栋2031,0,0,4,1,,,,
f001062,001,B栋2032,1,2,7,0,,,,
f001063,001,B栋2041,1,1,3,0,,,,
f001064,001,B栋2042,0,2,7,0,,,,
f001065,001,B栋2051,1,2,1,0,,,,
f001066,001,B栋2052,0,0,8,1,,,,
f001067,001,B栋2061,0,1,4,1,,,,
f001068,001,B栋2062,0,0,5,1,,,,
f001069,001,B栋2071,1,2,2,1,,,,
f001070,001,B栋2072,1,1,8,0,,,,
f001071,001,B栋2081,0,2,4,0,,,,
f001072,001,B栋2082,0,1,8,1,,,,
f001073,001,B栋2091,0,1,1,0,,,,
f001074,001,B栋2092,0,1,7,0,,,,
f001075,001,B栋3011,0,2,2,1,,,,
f001076,001,B栋3012,0,0,4,0,,,,
f001077,001,C栋1011,1,1,5,0,,,,
f001078,001,C栋1012,0,2,2,0,,,,
f001079,001,C栋1021,1,2,8,1,,,,
f001080,001,C栋1022,0,1,3,0,,,,
f001081,001,C栋1031,1,0,3,1,,,,
f001082,001,C栋1032,1,0,5,1,,,,
f001083,001,C栋1041,1,1,4,0,,,,
f001084,001,C栋1042,0,2,5,0,,,,
f001085,001,C栋1051,0,0,5,1,,,,
f001086,001,C栋1052,1,2,2,1,,,,
f001087,001,C栋1061,1,0,7,0,,,,
f001088,001,C栋1062,1,2,5,0,,,,
f001089,001,C栋1071,1,2,1,0,,,,
f001090,001,C栋1072,0,1,2,0,,,,
f001091,001,C栋1081,1,1,8,0,,,,
f001092,001,C栋1082,0,1,4,0,,,,
f001093,001,C栋1091,1,2,7,0,,,,
f001094,001,C栋1092,0,0,6,0,,,,
f001095,001,C栋2011,0,2,4,0,,,,
f001096,001,C栋2012,1,0,3,0,,,,
f001097,001,C栋2021,0,0,2,1,,,,
f001098,001,C栋2022,1,2,7,1,,,,
f001099,001,C栋2031,1,1,1,0,,,,
f001100,001,C栋2032,1,0,7,0,,,,
f001101,001,C栋2041,0,1,8,1,,,,
f001102,001,C栋2042,0,2,8,1,,,,
f001103,001,C栋2051,0,1,7,1,,,,
f001104,001,C栋2052,1,2,1,1,,,,
f001105,001,C栋2061,0,2,5,1,,,,
f001106,001,C栋2062,1,2,8,1,,,,
f001107,001,C栋2071,0,0,2,0,,,,
f001108,001,C栋2072,0,1,3,0,,,,
f001109,001,C栋2081,1,1,6,0,,,,
f001110,001,C栋2082,1,2,5,1,,,,
f001111,001,C栋2091,1,2,3,0,,,,
f001112,001,C栋2092,1,2,2,1,,,,
f001113,001,C栋3011,1,1,1,1,,,,
f001114,001,C栋3012,1,2,7,1,,,,
f001115,001,D栋1011,1,0,4,0,,,,
f001116,001,D栋1012,1,2,4,0,,,,
f001117,001,D栋1021,0,2,3,1,,,,
f001118,001,D栋1022,0,2,1,0,,,,
f001119,001,D栋1031,0,2,6,1,,,,
f001120,001,D栋1032,1,2,3,1,,,,
f001121,001,D栋1041,0,1,1,1,,,,
f001122,001,D栋1042,1,1,3,0,,,,
f001123,001,D栋1051,0,0,2,0,,,,
f001124,001,D栋1052,0,2,8,0,,,,
f001125,001,D栋1061,0,1,1,0,,,,
f001126,001,D栋1062,1,2,8,1,,,,
f001127,001,D栋1071,1,2,1,0,,,,
f001128,001,D栋1072,0,2,1,0,,,,
f001129,001,D栋1081,1,0,7,0,,,,
f001130,001,D栋1082,1,0,6,0,,,,
f001131,001,D栋1091,1,2,3,0,,,,
f001132,001,D栋1092,0,2,5,1,,,,
f001133,001,D栋2011,1,0,4,0,,,,
f001134,001,D栋2012,1,0,7,1,,,,
f001135,001,D栋2021,0,0,4,0,,,,
f001136,001,D栋2022,1,0,6,0,,,,
f001137,001,D栋2031,0,2,8,0,,,,
f001138,001,D栋2032,1,1,8,1,,,,
f001139,001,D栋2041,1,2,7,1,,,,
f001140,001,D栋2042,1,1,2,0,,,,
f001141,001,D栋2051,1,0,5,0,,,,
f001142,001,D栋2052,1,2,8,1,,,,
f001143,001,D栋2061,1,1,6,0,,,,
f001144,001,D栋2062,0,0,1,1,,,,
f001145,001,D栋2071,1,2,6,1,,,,
f001146,001,D栋2072,1,2,3,1,,,,
f001147,001,D栋2081,0,2,7,1,,,,
f001148,001,D栋2082,1,1,3,0,,,,
f001149,001,D栋2091,0,2,5,1,,,,
f001150,001,D栋2092,0,2,1,1,,,,
f001151,001,D栋3011,0,0,6,0,,,,
f001152,001,D栋3012,1,1,1,1,,,,
f001153,001,E栋1011,1,0,6,0,,,,
f001154,001,E栋1012,1,2,1,1,,,,
f001155,001,E栋1021,0,1,7,1,,,,
f001156,001,E栋1022,0,0,8,0,,,,
f001157,001,E栋1031,0,2,5,0,,,,
f001158,001,E栋1032,1,2,2,0,,,,
f001159,001,E栋1041,0,0,7,1,,,,
f001160,001,E栋1042,0,2,7,1,,,,
f001161,001,E栋1051,0,1,1,1,,,,
f001162,001,E栋1052,0,1,8,0,,,,
f001163,001,E栋1061,0,1,1,1,,,,
f001164,001,E栋1062,1,2,1,0,,,,
f001165,001,E栋1071,0,2,4,1,,,,
f001166,001,E栋1072,0,1,5,1,,,,
f001167,001,E栋1081,0,1,7,0,,,,
f001168,001,E栋1082,1,1,6,1,,,,
f001169,001,E栋1091,0,1,3,1,,,,
f001170,001,E栋1092,0,2,8,1,,,,
f001171,001,E栋2011,0,0,6,1,,,,
f001172,001,E栋2012,0,0,3,0,,,,
f001173,001,E栋2021,1,1,7,1,,,,
f001174,001,E栋2022,0,0,8,1,,,,
f001175,001,E栋2031,1,0,4,1,,,,
f001176,001,E栋2032,1,2,6,0,,,,
f001177,001,E栋2041,1,2,1,1,,,,
f001178,001,E栋2042,1,0,6,0,,,,
f001179,001,E栋2051,1,2,7,0,,,,
f001180,001,E栋2052,0,2,7,1,,,,
f001181,001,E栋2061,0,0,5,1,,,,
f001182,001,E栋2062,1,1,8,1,,,,
f001183,001,E栋2071,1,1,7,0,,,,
f001184,001,E栋2072,1,2,1,0,,,,
f001185,001,E栋2081,0,2,4,1,,,,
f001186,001,E栋2082,0,2,1,1,,,,
f001187,001,E栋2091,0,1,5,0,,,,
f001188,001,E栋2092,0,1,8,1,,,,
f001189,001,E栋3011,1,1,8,1,,,,
f001190,001,F栋1011,0,1,7,1,,,,
f001191,001,F栋1012,0,0,5,0,,,,
f001192,001,F栋1021,0,2,3,0,,,,
f001193,001,F栋1022,0,2,8,1,,,,
f001194,001,F栋1031,0,0,4,0,,,,
f001195,001,F栋1032,0,0,7,0,,,,
f001196,001,F栋1041,0,2,7,0,,,,
f001197,001,F栋1042,1,2,8,0,,,,
f001198,001,F栋1051,0,0,1,0,,,,
f001199,001,F栋1052,0,0,4,1,,,,
f001200,001,F栋1061,1,1,6,0,,,,
f001201,001,F栋1062,1,0,2,1,,,,
f001202,001,F栋1071,0,0,3,0,,,,
f001203,001,F栋1072,1,1,6,1,,,,
f001204,001,F栋1081,0,1,3,1,,,,
f001205,001,F栋1082,0,0,4,1,,,,
f001206,001,F栋1091,0,1,7,1,,,,
f001207,001,F栋1092,0,1,2,0,,,,
f001208,001,F栋2011,0,1,8,1,,,,
