id,f_id,variety,sex,age
f0010011,f001001,狗,雌,4
f0010021,f001002,狗,雌,4
f0010031,f001003,狗,雌,2
f0010041,f001004,狗,雄,2
f0010051,f001005,狗,雄,5
f0010061,f001006,狗,雄,9
f0010071,f001007,狗,雄,6
f0010081,f001008,狗,雄,8
f0010091,f001009,狗,雌,1
f0010101,f001010,猫,雄,4
f0010111,f001011,狗,雄,7
f0010121,f001012,猫,雄,5
f0010131,f001013,狗,雌,4
f0010141,f001014,狗,雄,3
f0010151,f001015,狗,雌,5
f0010161,f001016,猫,雌,7
f0010171,f001017,狗,雄,6
f0010181,f001018,猫,雄,9
f0010191,f001019,猫,雄,10
f0010201,f001020,狗,雄,10
f0010211,f001021,狗,雌,8
f0010221,f001022,狗,雌,8
f0010231,f001023,狗,雄,7
f0010241,f001024,狗,雌,4
f0010251,f001025,狗,雄,1
f0010261,f001026,狗,雄,10
f0010271,f001027,狗,雄,8
f0010281,f001028,狗,雄,4
f0010291,f001029,猫,雄,5
f0010301,f001030,狗,雄,1
f0010311,f001031,狗,雄,6
f0010321,f001032,狗,雌,3
f0010331,f001033,猫,雌,2
f0010341,f001034,狗,雌,9
f0010351,f001035,狗,雄,8
f0010361,f001036,猫,雄,1
f0010371,f001037,狗,雄,8
f0010381,f001038,狗,雌,3
f0010391,f001039,狗,雌,6
f0010401,f001040,狗,雄,1
f0010411,f001041,狗,雄,1
f0010421,f001042,狗,雌,8
f0010431,f001043,狗,雌,1
f0010441,f001044,狗,雄,2
f0010451,f001045,狗,雄,6
f0010461,f001046,狗,雄,4
f0010471,f001047,狗,雄,9
f0010481,f001048,狗,雄,3
f0010491,f001049,狗,雌,3
f0010501,f001050,狗,雄,3
f0010511,f001051,狗,雄,2
f0010521,f001052,狗,雄,1
f0010531,f001053,狗,雄,1
f0010541,f001054,狗,雄,2
f0010551,f001055,狗,雌,4
f0010561,f001056,猫,雄,4
f0010571,f001057,狗,雄,5
f0010581,f001058,狗,雌,1
f0010591,f001059,狗,雌,5
f0010601,f001060,狗,雌,8
f0010611,f001061,猫,雄,5
f0010621,f001062,狗,雌,9
f0010631,f001063,狗,雌,8
f0010641,f001064,狗,雄,9
f0010651,f001065,狗,雄,8
f0010661,f001066,猫,雄,4
f0010671,f001067,猫,雄,2
f0010681,f001068,猫,雄,3
f0010691,f001069,狗,雌,7
f0010701,f001070,狗,雌,3
f0010711,f001071,狗,雄,6
f0010721,f001072,猫,雄,1
f0010731,f001073,猫,雄,6
f0010741,f001074,狗,雌,4
f0010751,f001075,狗,雌,5
f0010761,f001076,狗,雄,5
f0010771,f001077,猫,雌,6
f0010781,f001078,狗,雌,7
f0010791,f001079,猫,雄,10
f0010801,f001080,狗,雌,4
f0010811,f001081,狗,雄,5
f0010821,f001082,狗,雄,1
f0010831,f001083,狗,雌,7
f0010841,f001084,狗,雌,10
f0010851,f001085,狗,雌,3
f0010861,f001086,狗,雄,6
f0010871,f001087,狗,雄,5
f0010881,f001088,狗,雄,7
f0010891,f001089,狗,雄,4
f0010901,f001090,猫,雄,4
f0010911,f001091,猫,雌,8
f0010921,f001092,猫,雌,10
f0010931,f001093,狗,雄,9
f0010941,f001094,狗,雌,8
f0010951,f001095,猫,雄,5
f0010961,f001096,猫,雄,10
f0010971,f001097,狗,雌,10
